run_id,timestamp,config,outage_s,final_pos_error_m,pct_of_distance,cep50_m,cep95_m,along_track_m,cross_track_m,heading_error_deg,outage_id,split,source_side,has_ground_truth,skip_reason
vw14b,2026-09-09T11:50:53Z,inav_ai_ukf_v1,60,636.7635,43.2895,262.5267,609.4668,-591.1761,236.5757,4.7125,2,test,phone,True,
vw14b,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,56.0979,25.6984,6.5784,50.9528,-39.9771,-39.3548,24.0881,3,test,phone,True,
vw14b,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,375.5338,56.8538,160.0608,350.06,-299.2036,-226.9498,49.754,4,test,phone,True,
vw14b,2026-09-09T11:50:53Z,inav_ai_ukf_v1,180,803.9974,33.8972,330.8746,722.4687,-556.5229,580.2408,38.0115,5,test,phone,True,
vw14c,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,5.4383,12.1794,4.0068,7.7312,5.4215,0.4269,9.8004,1,test,phone,True,
vw14c,2026-09-09T11:50:53Z,inav_ai_ukf_v1,120,2154.0042,142.4166,769.7004,1968.4646,-2122.2696,368.042,117.2685,2,test,phone,True,
vw14c,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,199.0972,29.3527,74.0491,186.1703,-196.3869,32.7351,1.3642,3,test,phone,True,
vw14c,2026-09-09T11:50:53Z,inav_ai_ukf_v1,180,1525.3047,52.8176,1178.7848,1525.4663,-1524.9825,-30.7835,,4,test,phone,True,
vw14c,2026-09-09T11:50:53Z,inav_ai_ukf_v1,60,1003.4087,108.2385,412.011,946.392,-896.1117,-451.5366,95.5707,5,test,phone,True,
vw16a,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,13.2414,10.6594,6.3235,11.9038,1.6979,-13.1321,15.0077,1,test,phone,True,
vw16a,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,99.8716,24.0668,27.5354,89.6493,-34.5253,-93.7142,26.6746,2,test,phone,True,
vw16a,2026-09-09T11:50:53Z,inav_ai_ukf_v1,60,491.5596,42.2357,214.0805,497.3277,-358.4864,-336.3393,1.8481,3,test,phone,True,
vw16a,2026-09-09T11:50:53Z,inav_ai_ukf_v1,120,787.326,38.7314,122.5671,731.5147,-651.5542,441.9784,34.7795,4,test,phone,True,
vw16b,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,21.9937,10.0392,5.8182,17.9863,-19.1008,-10.9032,19.9193,1,test,phone,True,
vw16b,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,236.1381,53.8468,94.9611,230.6079,-157.3053,176.1119,16.4788,2,test,phone,True,
vw17,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,37.3312,21.4947,14.1393,35.3182,-21.8775,30.2488,15.4693,1,test,phone,True,
vw2,2026-09-09T11:50:53Z,inav_ai_ukf_v1,180,3094.6097,122.0766,1138.6282,2936.3169,-3094.793,-33.7581,,1,test,phone,True,
vw2,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,21.5126,35.7636,12.2456,20.8398,-21.4224,-1.9677,4.9757,2,test,phone,True,
vw2,2026-09-09T11:50:53Z,inav_ai_ukf_v1,60,720.0155,51.1535,272.2306,675.7558,-636.9561,335.7655,42.4966,3,test,phone,True,
vw2,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,422.2736,50.5999,176.6116,394.4159,-387.6357,-167.4932,9.6336,4,test,phone,True,
vw2,2026-09-09T11:50:53Z,inav_ai_ukf_v1,120,1579.1605,49.425,866.6888,1503.7555,-1578.9854,-29.0049,16.7012,5,test,phone,True,
vw3,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,46.1943,35.4399,24.749,43.7621,-28.4157,-36.4206,13.8878,1,test,phone,True,
vw3,2026-09-09T11:50:53Z,inav_ai_ukf_v1,120,284.974,15.6758,169.2398,264.0989,-198.1062,204.8513,0.1159,2,test,phone,True,
